Symbol	Close	High	Low	Avg3RSI2	Sma200	Sma5	Lbbrange	Lbbslope	Lbbnegslopedur	RSI1	RSI2	RSI3	Lowrsidays	LastUpdated	CD1	CD2	CD3	CD4	CD5	Avggain	Avgloss	Avgvolume	Last4
RASOYPR	1.1	1.1	1.1	0.00001086521973	-1037.659091	-175.7408822	18.3772234	4.57923214	24	0.000004656593475	0.000009313116209	0.00001862594949	22	1/13/2015	4.347826087	4.166666667	4	3.846153846	3.703703704	0.000000002328314422	0.05000037745	1104077.65	1.1/1.15/1.2/1.25/1.3
KFA	2	2.25	1.95	0.03902454607	-55.3375	-40.59268556	9.910813713	12.90210401	3	0.00661012006	0.02828502854	0.08217848962	11	9/23/2014	11.11111111	4.255319149	4.081632653	0	0	0.0000107824812	0.1631100247	2696670.5	2.0/2.25/2.35/2.45/2.45
KSERASERA	3.65	3.75	3.65	0.06741160099	-251.9657534	-287.2592316	20.58257973	3.021720658	6	0.03303496481	0.06706477648	0.1021350617	42	1/13/2015	3.947368421	2.564102564	4.87804878	4.651162791	4.444444444	0.00004882812502	0.1477585793	2831325.9	3.65/3.8/3.9/4.1/4.3
HATHWAY	65.05	65.8	63.8	0.1680078333	-350.6383551	-858.2458608	32.30404007	149.2794752	2	0.3524717455	0.07572322812	0.07582852643	5	1/12/2015	-0.07692307692	0.07686395081	2.03313253	0.1503759398	80.86606244	0.03181632605	8.9948153	322758.6	65.05/65.0/65.05/66.4/66.5
CCCL	3.95	4	3.85	0.2273268688	-48.05696203	-34.23587498	23.0418067	3.787065375	8	0.118389959	0.1551076419	0.4084830055	8	1/14/2015	1.25	4.761904762	3.448275862	3.333333333	0	0.0001250295901	0.1054832426	57223.10526	3.95/4.0/4.2/4.35/4.5
SUNTECK	232	241.5	223	0.378826571	-33.38502155	-32.83302654	15.54975738	6.095352434	2	0.09791094485	0.1897340694	0.8488346987	9	1/14/2015	3.854123498	5.99922088	2.246763138	0.3415559772	1.440059847	0.009407569797	9.598884753	38281.47368	232.0/241.3/256.7/262.6/263.5
IFBIND	460	469.95	455.05	1.65160843	44.92184783	-8.434128242	14.61884962	1.48963445	7	0.4864802038	1.732008349	2.736336736	4	1/14/2015	1.530557637	0.436913896	0.7509254363	1.067280527	0.1045259747	0.02418453012	4.947144196	90993.15789	460.0/467.15/469.2/472.75/477.85
NATIONALUM	47.6	49	47.3	2.481624964	-12.9842437	-24.52854601	15.38764494	3.160656468	2	0.8497861952	2.115813074	4.479275623	7	1/14/2015	2.459016393	1.711983887	1.78041543	1.173020528	-0.3925417076	0.008521092746	0.9942126295	1146284.5	47.6/48.8/49.65/50.55/51.15
IBPOW	11.5	11.8	11.4	2.543131287	9.080434783	-13.04511061	20.50748728	1.356677355	7	1.225550726	1.817467035	4.586376102	5	11/19/2014	0.8620689655	2.109704641	1.659751037	0.8230452675	1.619433198	0.001881514337	0.1516424727	1449061.1	11.5/11.6/11.85/12.05/12.15
HINDZINC	153.45	159.2	152.25	3.198875975	-2.48305637	-15.83824664	12.44718894	3.545119448	6	0.8412993639	4.062436585	4.692891976	5	1/14/2015	3.581526861	0.2507051081	1.966205837	1.27388535	-0.4264392324	0.03023937349	3.564126055	1016423.7	153.45/159.15/159.55/162.75/164.85
