Symbol,AvgRSI2,Hist,Ubb,Close,Lbb,Sma5,Sma200,Sma20
CMAHENDRA,2.13E-06,2.80809212,83.74818214,31,21.12681786,34.4,184.63725,52.4375
KSERASERA,0.004487183,-0.097092521,15.94665705,13,12.05334295,13,13.2125,14
NAKODA,0.424061925,-0.042958024,5.938067756,3.6,3.491932244,3.92,9.41425,4.715
PGHH,0.453295733,-53.68259915,5564.091461,5022.25,4774.933539,5100.79,3679.34,5169.5125
GUJNREDVR,1.483217657,-0.022238621,5.275131251,4.2,4.219868749,4.37,5.16275,4.7475
WELPROJ,2.367028636,-0.249646607,33.1383327,29.6,29.4316673,30.35,18.69025,31.285
LYKALABS,2.765411402,-0.266987121,18.41284126,13.8,12.91715874,14.65,12.83625,15.665
IMFA,3.025107599,-2.420490065,397.486788,340,331.663212,345.5,288.43625,364.575
GSKCONS,3.550515001,-21.57796921,5526.73189,5013.2,4699.07311,5227.79,4518.60325,5112.9025
PGEL,4.494102379,-0.353834802,127.3503461,97.95,92.96965387,103.28,157.385,110.16
USHAMART,6.22765378,-0.283841303,43.69637319,38.9,38.44862681,39.85,35.49325,41.0725
BAJAJELEC,7.497020959,1.112856362,298.5816828,279.35,269.8333172,285.27,269.26325,284.2075
LAKSHVILAS,7.547082697,0.044451043,84.04106512,73.5,73.46393488,74.42,80.29975,78.7525
PRAKASHCON,7.985557375,-0.045366597,3.671793301,2.55,2.308206699,2.73,1.5435,2.99
SAREGAMA,8.040927622,-2.32271295,190.2254705,153.35,116.3345295,158.38,87.9715,153.28
PARAL,9.010151543,-0.119658194,39.41571052,35.2,35.17928948,36.5,46.4805,37.2975
JCTEL,9.028719227,-0.008372663,0.699303399,0.5,0.475696601,0.52,0.53025,0.5875
MANINFRA,9.047149771,-8.29668782,234.5933734,29.5,-31.61337336,29.52,114.20325,101.49
THERMAX,9.860084068,-0.408633884,886.9655763,843.7,828.5694237,847.98,779.17025,857.7675
FLEXITUFF,9.952197089,-0.979669339,234.5570469,209.65,213.3229531,218.75,232.224,223.94
CORPBANK,10.04388903,0.314003165,340.2884798,319.75,316.1565202,320.88,303.3995,328.2225
BANKINDIA,10.22975471,-0.129509898,296.4692777,278.25,268.8857223,285.01,246.3095,282.6775
EROSMEDIA,11.2534926,-1.734173579,286.1519735,251,218.5680265,259.28,187.72875,252.36
JUBLFOOD,12.17451325,2.722544351,1437.962455,1319.3,1127.177545,1335.64,1172.00575,1282.57
SHRENUJ,12.49244804,0.928725958,63.72287006,55.6,55.27712994,57,95.66975,59.5
BHEL,13.10378362,-1.054635254,244.3151442,219.1,210.6948558,222.8,200.03425,227.505
HCC,13.23467894,0.065598755,41.94947365,37.9,33.95052635,38.7,24.933,37.95
LUMAXIND,14.03353413,-2.820910658,458.6726271,406.4,346.4023729,413.32,329.665,402.5375
GARDENSILK,14.74462896,-0.398825452,45.36305413,38.4,38.18194587,39.27,40.65525,41.7725
SUNTV,14.74652905,0.927098159,385.5889127,351.45,343.8960873,356.46,390.5915,364.7425
ASTRAMICRO,14.82803195,-0.572995583,136.4700975,124.9,121.6549025,125.61,82.954,129.0625
SAIL,14.98443744,0.029919004,87.59352408,80.95,80.14647592,83.4,75.81925,83.87
UGARSUGAR,15.19727168,0.023619197,11.97843043,11.25,10.94656957,11.31,11.31675,11.4625
GREENPOWER,16.04547327,-0.054387771,15.66604628,13.45,13.00395372,13.54,12.58525,14.335
HDFC,16.35432545,-5.958605776,1131.766543,1035.05,1016.838457,1054.44,903.016,1074.3025
UNIONBANK,17.13692744,-0.567409822,223.4657012,202.7,190.1742988,207.62,160.339,206.82
SAGCEM,17.34272949,-0.26259576,385.4979873,357.5,315.5470127,359.76,225.09775,350.5225
SRGINFOTEC,18.18272721,-5.08E-04,0.376298918,0.3,0.273701082,0.3,0.28675,0.325
RELIGARE,18.43247219,-0.064929238,324.6346381,315.35,312.4753619,316.23,317.45325,318.555
DHARSUGAR,18.5660038,0.003877726,28.23630334,24.2,23.76369666,24.85,24.257,26
SATHAISPAT,19.08748328,-0.37966104,42.16748137,37.5,35.19251863,38.22,29.816,38.68
MANAPPURAM,19.47508932,-0.07822982,30.80223198,26.8,21.64776802,27.33,21.431,26.225
JINDALPHOT,20.1377126,-4.228858701,248.5537483,210.7,203.4262517,215.53,143.8895,225.99
SOBHA,20.24271915,-2.841217301,496.6843469,432.5,412.6156531,443.89,383.11475,454.65
VIKASGLOB,20.40039523,-0.599795447,38.14213098,29.85,28.73286902,30.85,99.25825,33.4375
GOKUL,20.97291087,-0.273693281,23.87433613,20.15,18.51566387,20.39,16.8715,21.195
EXCELINFO,21.08785969,0.006582531,19.10945839,18.05,17.80054161,18.16,20.6545,18.455
FAGBEARING,21.86920263,-16.02482949,2972.307368,2806,2739.577632,2860.51,2074.76375,2855.9425
FRL,22.04595367,-0.276461298,126.5966704,119.25,118.2883296,119.68,102.84125,122.4425
MVL,22.24005053,-0.031015913,2.163346828,1.45,1.296653172,1.44,1.48725,1.73
MBECL,22.32317657,0.03169367,114.1198377,99.85,80.89516232,102.74,72.86375,97.5075
SOUISPAT,22.41329044,-0.094337225,3.579558901,2.35,2.100441099,2.33,2.30275,2.84
ESL,22.88972649,-0.01805124,5.921214532,5.15,5.153785468,5.33,4.7735,5.5375
ZYLOG,23.4219073,-0.073596526,9.726600169,7.55,7.038399831,7.42,11.60625,8.3825
MCX,23.42232248,-7.452836275,872.3052013,816.25,789.6997987,822.27,586.322,831.0025
MCX,23.42232248,-7.452836275,872.3052013,816.25,789.6997987,822.27,586.322,831.0025
SKFINDIA,23.71659362,-8.132884292,1190.572661,1088.65,1048.552339,1095.02,853.04925,1119.5625
BRFL,24.36949884,-1.075059506,173.903237,157.3,154.786763,159.26,180.962,164.345
ESSDEE,24.48815553,2.985892702,554.6484245,489.2,424.4315755,494.63,596.16175,489.54
VISESHINFO,24.56925688,-0.004317738,0.43413504,0.3,0.29086496,0.34,0.2985,0.3625
TTKPRESTIG,25.26579481,-30.44344092,4941.306871,4394.5,3750.818129,4432.95,3451.62,4346.0625
RAMKY,25.33021861,0.373826394,68.0533794,58.8,51.3466206,59.76,55.0815,59.7
NTPC,25.74622672,0.258547603,144.90272,139.4,137.43228,141.15,136.73675,141.1675
PETRONET,26.08833783,0.291110937,197.6021416,186.85,168.0928584,189.35,145.35575,182.8475
SUNDRMBRAK,26.23674801,2.383893997,355.2869867,311.5,224.0030133,324.94,205.06875,289.645
CRESTANI,26.32519841,-0.039360397,4.92292568,3.75,3.31207432,4.01,3.4395,4.1175
ARSSINFRA,26.32582819,-0.199541078,54.34015231,44.4,42.27984769,45.24,35.213,48.31
DHAMPURSUG,26.40637199,0.236918188,58.48440671,54.15,49.85559329,55.85,45.1525,54.17
SURYAPHARM,27.25838824,-0.009295169,1.628778216,1.4,1.101221784,1.36,1.19025,1.365
HBLPOWER,27.88433968,0.046681622,18.10510483,16.95,15.64489517,16.72,14.28275,16.875
SEINV,28.11733137,-3.998479302,416.366985,318.5,288.553015,320.02,372.842,352.46
HUBTOWN,28.84138892,0.377907846,121.7061353,102.75,106.2338647,109.7,130.41125,113.97
KEC,28.89934968,0.927000318,113.1748269,107.6,98.92517313,108.78,82.98,106.05
ENIL,28.90824094,-0.461238898,428.4858938,409.35,408.0891062,413.02,382.308,418.2875
JKIL,28.94003125,-0.896801938,337.7193778,318.85,311.0056222,323.78,236.77875,324.3625
DBREALTY,29.03198087,0.023539454,83.79307787,74.7,70.59692213,75.95,69.813,77.195
EXIDEIND,29.07632204,-0.548584656,168.6732489,161.85,157.4967511,163.16,129.721,163.085
GENUSPOWER,29.23753732,0.349090134,38.35809058,34.25,22.98190942,35.16,18.785,30.67
ASTRAZEN,29.30737894,-0.939006346,1060.301397,939.15,930.7486032,961.46,999.12525,995.525
INDOSOLAR,29.57688158,-0.079499976,8.126073946,6.95,6.248926054,6.98,3.45025,7.1875
FRLDVR,29.61409423,-0.207692605,71.90560568,63.8,60.24939432,63.94,52.121,66.0775
OBEROIRLTY,29.64648399,1.312023193,262.4519255,247.85,227.3830745,252.63,223.9075,244.9175
PRAJIND,30.41737867,0.003960009,65.95524937,62.35,58.90975063,62.11,55.271,62.4325
